Vivado Simulator 2019.2
Time resolution is 1 ps
Block Memory Generator module tb_image_loader_module.uut.IMG_LOADER.DP_Weight_Memory_i.blk_mem_gen_0.inst.native_mem_mapped_module.blk_mem_gen_v8_4_4_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Time: 0 | x_tdata: 00000000 | x_tvalid: x | r_addr:          x
Time: 1000 | x_tdata: 00000000 | x_tvalid: 0 | r_addr:          0
blk_mem_gen_v8_4_4 collision detected at time: 61000, Instance: tb_image_loader_module.uut.IMG_LOADER.DP_Weight_Memory_i.blk_mem_gen_0.inst.native_mem_mapped_module.blk_mem_gen_v8_4_4_inst, A write address: 0, B  read address: 0
Time: 175000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:          4
Time: 177000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:          8
Time: 177000 | x_tdata: 00000004 | x_tvalid: 1 | r_addr:          8
Time: 179000 | x_tdata: 00000004 | x_tvalid: 1 | r_addr:         12
Time: 179000 | x_tdata: 00000008 | x_tvalid: 1 | r_addr:         12
Time: 181000 | x_tdata: 00000008 | x_tvalid: 1 | r_addr:         16
Time: 181000 | x_tdata: 0000000c | x_tvalid: 1 | r_addr:         16
Time: 183000 | x_tdata: 0000000c | x_tvalid: 1 | r_addr:         20
Time: 183000 | x_tdata: 00000010 | x_tvalid: 1 | r_addr:         20
Time: 185000 | x_tdata: 00000010 | x_tvalid: 1 | r_addr:         24
Time: 185000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:         24
Time: 187000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:         28
Time: 189000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:         32
Time: 191000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:         36
Time: 193000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:         40
Time: 195000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:         44
Time: 197000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:         48
Time: 199000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:         52
Time: 201000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:         56
Time: 203000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:         60
Time: 205000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:         64
Time: 207000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:         68
Time: 209000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:         72
Time: 211000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:         76
Time: 213000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:         80
Time: 215000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:         84
Time: 217000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:         88
Time: 219000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:         92
Time: 221000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:         96
Time: 223000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:        100
Time: 225000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:        104
Time: 227000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:        108
Time: 229000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:        112
Time: 231000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:        116
Time: 233000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:        120
Time: 235000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:        124
Time: 237000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:        128
Time: 239000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:        132
Time: 241000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:        136
Time: 243000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:        140
Time: 245000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:        144
Time: 247000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:        148
Time: 249000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:        152
Time: 251000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:        156
Time: 253000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:        160
Time: 255000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:        164
Time: 257000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:        168
Time: 259000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:        172
Time: 261000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:        176
Time: 263000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:        180
Time: 265000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:        184
Time: 267000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:        188
Time: 269000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:        192
Time: 271000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:        196
Time: 273000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:        200
Time: 275000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:        204
Time: 277000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:        208
Time: 279000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:        212
Time: 281000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:        216
Time: 283000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:        220
Time: 285000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:        224
Time: 287000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:        228
Time: 289000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:        232
Time: 291000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:        236
Time: 293000 | x_tdata: 00000000 | x_tvalid: 1 | r_addr:        240
