Vivado Simulator 2019.2
Time resolution is 1 ps
Block Memory Generator module design_3_tb.uut.blk_mem_gen_0.inst.native_mem_mapped_module.blk_mem_gen_v8_4_4_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
blk_mem_gen_v8_4_4 collision detected at time: 15000, Instance: design_3_tb.uut.blk_mem_gen_0.inst.native_mem_mapped_module.blk_mem_gen_v8_4_4_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_4 collision detected at time: 35000, Instance: design_3_tb.uut.blk_mem_gen_0.inst.native_mem_mapped_module.blk_mem_gen_v8_4_4_inst, A read address: 0, B write address: 0
blk_mem_gen_v8_4_4 collision detected at time: 45000, Instance: design_3_tb.uut.blk_mem_gen_0.inst.native_mem_mapped_module.blk_mem_gen_v8_4_4_inst, A read address: 0, B write address: 0
blk_mem_gen_v8_4_4 collision detected at time: 55000, Instance: design_3_tb.uut.blk_mem_gen_0.inst.native_mem_mapped_module.blk_mem_gen_v8_4_4_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_4 collision detected at time: 65000, Instance: design_3_tb.uut.blk_mem_gen_0.inst.native_mem_mapped_module.blk_mem_gen_v8_4_4_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_4 collision detected at time: 75000, Instance: design_3_tb.uut.blk_mem_gen_0.inst.native_mem_mapped_module.blk_mem_gen_v8_4_4_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_4 collision detected at time: 95000, Instance: design_3_tb.uut.blk_mem_gen_0.inst.native_mem_mapped_module.blk_mem_gen_v8_4_4_inst, A read address: 0, B write address: 0
blk_mem_gen_v8_4_4 collision detected at time: 135000, Instance: design_3_tb.uut.blk_mem_gen_0.inst.native_mem_mapped_module.blk_mem_gen_v8_4_4_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_4 collision detected at time: 155000, Instance: design_3_tb.uut.blk_mem_gen_0.inst.native_mem_mapped_module.blk_mem_gen_v8_4_4_inst, A read address: 0, B write address: 0
blk_mem_gen_v8_4_4 collision detected at time: 195000, Instance: design_3_tb.uut.blk_mem_gen_0.inst.native_mem_mapped_module.blk_mem_gen_v8_4_4_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_4 collision detected at time: 215000, Instance: design_3_tb.uut.blk_mem_gen_0.inst.native_mem_mapped_module.blk_mem_gen_v8_4_4_inst, A read address: 0, B write address: 0
