Vivado Simulator 2019.2
Time resolution is 1 ps
Block Memory Generator module image_loader_module_tb.uut.IMG_LOADER.bram.inst.native_mem_module.blk_mem_gen_v8_4_4_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Time: 0 | x_tdata: 00000000 | x_tvalid: x | r_addr:    x
Time: 5000 | x_tdata: 00000000 | x_tvalid: 0 | r_addr:    0
Time: 5000 | x_tdata: xxxxxxxx | x_tvalid: 0 | r_addr:    0
Time: 15000 | x_tdata: 00000000 | x_tvalid: 0 | r_addr:    0
blk_mem_gen_v8_4_4 collision detected at time: 305000, Instance: image_loader_module_tb.uut.IMG_LOADER.bram.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 0, B  read address: 0
Time: 305000 | x_tdata: 00000001 | x_tvalid: 0 | r_addr:    0
Time: 31965000 | x_tdata: 00000001 | x_tvalid: 1 | r_addr:    1
Time: 31975000 | x_tdata: 00000001 | x_tvalid: 1 | r_addr:    2
Time: 31975000 | x_tdata: 00000002 | x_tvalid: 1 | r_addr:    2
Time: 31985000 | x_tdata: 00000002 | x_tvalid: 1 | r_addr:    3
Time: 31985000 | x_tdata: 00000003 | x_tvalid: 1 | r_addr:    3
Time: 31995000 | x_tdata: 00000003 | x_tvalid: 1 | r_addr:    4
Time: 31995000 | x_tdata: 00000004 | x_tvalid: 1 | r_addr:    4
Time: 32005000 | x_tdata: 00000004 | x_tvalid: 1 | r_addr:    5
Time: 32005000 | x_tdata: 00000005 | x_tvalid: 1 | r_addr:    5
Time: 32015000 | x_tdata: 00000005 | x_tvalid: 1 | r_addr:    6
Time: 32015000 | x_tdata: 00000006 | x_tvalid: 1 | r_addr:    6
Time: 32025000 | x_tdata: 00000006 | x_tvalid: 1 | r_addr:    7
Time: 32025000 | x_tdata: 00000007 | x_tvalid: 1 | r_addr:    7
Time: 32035000 | x_tdata: 00000007 | x_tvalid: 1 | r_addr:    8
Time: 32035000 | x_tdata: 00000008 | x_tvalid: 1 | r_addr:    8
Time: 32045000 | x_tdata: 00000008 | x_tvalid: 1 | r_addr:    9
Time: 32045000 | x_tdata: 00000009 | x_tvalid: 1 | r_addr:    9
Time: 32055000 | x_tdata: 00000009 | x_tvalid: 1 | r_addr:   10
Time: 32055000 | x_tdata: 0000000a | x_tvalid: 1 | r_addr:   10
Time: 32065000 | x_tdata: 0000000a | x_tvalid: 1 | r_addr:   11
Time: 32065000 | x_tdata: 0000000b | x_tvalid: 1 | r_addr:   11
Time: 32075000 | x_tdata: 0000000b | x_tvalid: 1 | r_addr:   12
Time: 32075000 | x_tdata: 0000000c | x_tvalid: 1 | r_addr:   12
Time: 32085000 | x_tdata: 0000000c | x_tvalid: 1 | r_addr:   13
Time: 32085000 | x_tdata: 0000000d | x_tvalid: 1 | r_addr:   13
Time: 32095000 | x_tdata: 0000000d | x_tvalid: 1 | r_addr:   14
Time: 32095000 | x_tdata: 0000000e | x_tvalid: 1 | r_addr:   14
Time: 32105000 | x_tdata: 0000000e | x_tvalid: 1 | r_addr:   15
Time: 32105000 | x_tdata: 0000000f | x_tvalid: 1 | r_addr:   15
Time: 32115000 | x_tdata: 0000000f | x_tvalid: 1 | r_addr:   16
Time: 32115000 | x_tdata: 00000010 | x_tvalid: 1 | r_addr:   16
Time: 32125000 | x_tdata: 00000010 | x_tvalid: 1 | r_addr:   17
Time: 32125000 | x_tdata: 00000011 | x_tvalid: 1 | r_addr:   17
Time: 32135000 | x_tdata: 00000011 | x_tvalid: 1 | r_addr:   18
Time: 32135000 | x_tdata: 00000012 | x_tvalid: 1 | r_addr:   18
Time: 32145000 | x_tdata: 00000012 | x_tvalid: 1 | r_addr:   19
Time: 32145000 | x_tdata: 00000013 | x_tvalid: 1 | r_addr:   19
Time: 32155000 | x_tdata: 00000013 | x_tvalid: 1 | r_addr:   20
Time: 32155000 | x_tdata: 00000014 | x_tvalid: 1 | r_addr:   20
Time: 32165000 | x_tdata: 00000014 | x_tvalid: 1 | r_addr:   21
Time: 32165000 | x_tdata: 00000015 | x_tvalid: 1 | r_addr:   21
Time: 32175000 | x_tdata: 00000015 | x_tvalid: 1 | r_addr:   22
Time: 32175000 | x_tdata: 00000016 | x_tvalid: 1 | r_addr:   22
Time: 32185000 | x_tdata: 00000016 | x_tvalid: 1 | r_addr:   23
Time: 32185000 | x_tdata: 00000017 | x_tvalid: 1 | r_addr:   23
Time: 32195000 | x_tdata: 00000017 | x_tvalid: 1 | r_addr:   24
Time: 32195000 | x_tdata: 00000018 | x_tvalid: 1 | r_addr:   24
Time: 32205000 | x_tdata: 00000018 | x_tvalid: 1 | r_addr:   25
Time: 32205000 | x_tdata: 00000019 | x_tvalid: 1 | r_addr:   25
Time: 32215000 | x_tdata: 00000019 | x_tvalid: 1 | r_addr:   26
Time: 32215000 | x_tdata: 0000001a | x_tvalid: 1 | r_addr:   26
Time: 32225000 | x_tdata: 0000001a | x_tvalid: 1 | r_addr:   27
Time: 32225000 | x_tdata: 0000001b | x_tvalid: 1 | r_addr:   27
Time: 32235000 | x_tdata: 0000001b | x_tvalid: 1 | r_addr:   28
Time: 32235000 | x_tdata: 0000001c | x_tvalid: 1 | r_addr:   28
Time: 32245000 | x_tdata: 0000001c | x_tvalid: 1 | r_addr:   29
Time: 32245000 | x_tdata: 0000001d | x_tvalid: 1 | r_addr:   29
Time: 32255000 | x_tdata: 0000001d | x_tvalid: 1 | r_addr:   30
Time: 32255000 | x_tdata: 0000001e | x_tvalid: 1 | r_addr:   30
Time: 32265000 | x_tdata: 0000001e | x_tvalid: 1 | r_addr:   31
Time: 32265000 | x_tdata: 0000001f | x_tvalid: 1 | r_addr:   31
Time: 32275000 | x_tdata: 0000001f | x_tvalid: 1 | r_addr:   32
Time: 32275000 | x_tdata: 00000020 | x_tvalid: 1 | r_addr:   32
Time: 32285000 | x_tdata: 00000020 | x_tvalid: 1 | r_addr:   33
Time: 32285000 | x_tdata: 00000021 | x_tvalid: 1 | r_addr:   33
Time: 32295000 | x_tdata: 00000021 | x_tvalid: 1 | r_addr:   34
Time: 32295000 | x_tdata: 00000022 | x_tvalid: 1 | r_addr:   34
Time: 32305000 | x_tdata: 00000022 | x_tvalid: 1 | r_addr:   35
Time: 32305000 | x_tdata: 00000023 | x_tvalid: 1 | r_addr:   35
Time: 32315000 | x_tdata: 00000023 | x_tvalid: 1 | r_addr:   36
Time: 32315000 | x_tdata: 00000024 | x_tvalid: 1 | r_addr:   36
Time: 32325000 | x_tdata: 00000024 | x_tvalid: 1 | r_addr:   37
Time: 32325000 | x_tdata: 00000025 | x_tvalid: 1 | r_addr:   37
Time: 32335000 | x_tdata: 00000025 | x_tvalid: 1 | r_addr:   38
Time: 32335000 | x_tdata: 00000026 | x_tvalid: 1 | r_addr:   38
Time: 32345000 | x_tdata: 00000026 | x_tvalid: 1 | r_addr:   39
Time: 32345000 | x_tdata: 00000027 | x_tvalid: 1 | r_addr:   39
Time: 32355000 | x_tdata: 00000027 | x_tvalid: 1 | r_addr:   40
Time: 32355000 | x_tdata: 00000028 | x_tvalid: 1 | r_addr:   40
Time: 32365000 | x_tdata: 00000028 | x_tvalid: 1 | r_addr:   41
Time: 32365000 | x_tdata: 00000029 | x_tvalid: 1 | r_addr:   41
Time: 32375000 | x_tdata: 00000029 | x_tvalid: 1 | r_addr:   42
Time: 32375000 | x_tdata: 0000002a | x_tvalid: 1 | r_addr:   42
Time: 32385000 | x_tdata: 0000002a | x_tvalid: 1 | r_addr:   43
Time: 32385000 | x_tdata: 0000002b | x_tvalid: 1 | r_addr:   43
Time: 32395000 | x_tdata: 0000002b | x_tvalid: 1 | r_addr:   44
Time: 32395000 | x_tdata: 0000002c | x_tvalid: 1 | r_addr:   44
Time: 32405000 | x_tdata: 0000002c | x_tvalid: 1 | r_addr:   45
Time: 32405000 | x_tdata: 0000002d | x_tvalid: 1 | r_addr:   45
Time: 32415000 | x_tdata: 0000002d | x_tvalid: 1 | r_addr:   46
Time: 32415000 | x_tdata: 0000002e | x_tvalid: 1 | r_addr:   46
Time: 32425000 | x_tdata: 0000002e | x_tvalid: 1 | r_addr:   47
Time: 32425000 | x_tdata: 0000002f | x_tvalid: 1 | r_addr:   47
Time: 32435000 | x_tdata: 0000002f | x_tvalid: 1 | r_addr:   48
Time: 32435000 | x_tdata: 00000030 | x_tvalid: 1 | r_addr:   48
Time: 32445000 | x_tdata: 00000030 | x_tvalid: 1 | r_addr:   49
Time: 32445000 | x_tdata: 00000031 | x_tvalid: 1 | r_addr:   49
Time: 32455000 | x_tdata: 00000031 | x_tvalid: 1 | r_addr:   50
Time: 32455000 | x_tdata: 00000032 | x_tvalid: 1 | r_addr:   50
Time: 32465000 | x_tdata: 00000032 | x_tvalid: 1 | r_addr:   51
Time: 32465000 | x_tdata: 00000033 | x_tvalid: 1 | r_addr:   51
Time: 32475000 | x_tdata: 00000033 | x_tvalid: 1 | r_addr:   52
Time: 32475000 | x_tdata: 00000034 | x_tvalid: 1 | r_addr:   52
Time: 32485000 | x_tdata: 00000034 | x_tvalid: 1 | r_addr:   53
Time: 32485000 | x_tdata: 00000035 | x_tvalid: 1 | r_addr:   53
Time: 32495000 | x_tdata: 00000035 | x_tvalid: 1 | r_addr:   54
Time: 32495000 | x_tdata: 00000036 | x_tvalid: 1 | r_addr:   54
Time: 32505000 | x_tdata: 00000036 | x_tvalid: 1 | r_addr:   55
Time: 32505000 | x_tdata: 00000037 | x_tvalid: 1 | r_addr:   55
Time: 32515000 | x_tdata: 00000037 | x_tvalid: 1 | r_addr:   56
Time: 32515000 | x_tdata: 00000038 | x_tvalid: 1 | r_addr:   56
Time: 32525000 | x_tdata: 00000038 | x_tvalid: 1 | r_addr:   57
Time: 32525000 | x_tdata: 00000039 | x_tvalid: 1 | r_addr:   57
Time: 32535000 | x_tdata: 00000039 | x_tvalid: 1 | r_addr:   58
Time: 32535000 | x_tdata: 0000003a | x_tvalid: 1 | r_addr:   58
Time: 32545000 | x_tdata: 0000003a | x_tvalid: 1 | r_addr:   59
Time: 32545000 | x_tdata: 0000003b | x_tvalid: 1 | r_addr:   59
Time: 32555000 | x_tdata: 0000003b | x_tvalid: 1 | r_addr:   60
Time: 32555000 | x_tdata: 0000003c | x_tvalid: 1 | r_addr:   60
Time: 32565000 | x_tdata: 0000003c | x_tvalid: 1 | r_addr:   61
Time: 32565000 | x_tdata: 0000003d | x_tvalid: 1 | r_addr:   61
Time: 32575000 | x_tdata: 0000003d | x_tvalid: 1 | r_addr:   62
Time: 32575000 | x_tdata: 0000003e | x_tvalid: 1 | r_addr:   62
Time: 32585000 | x_tdata: 0000003e | x_tvalid: 1 | r_addr:   63
Time: 32585000 | x_tdata: 0000003f | x_tvalid: 1 | r_addr:   63
Time: 32595000 | x_tdata: 0000003f | x_tvalid: 1 | r_addr:   64
Time: 32595000 | x_tdata: 00000040 | x_tvalid: 1 | r_addr:   64
Time: 32605000 | x_tdata: 00000040 | x_tvalid: 1 | r_addr:   65
Time: 32605000 | x_tdata: 00000041 | x_tvalid: 1 | r_addr:   65
Time: 32615000 | x_tdata: 00000041 | x_tvalid: 1 | r_addr:   66
Time: 32615000 | x_tdata: 00000042 | x_tvalid: 1 | r_addr:   66
Time: 32625000 | x_tdata: 00000042 | x_tvalid: 1 | r_addr:   67
Time: 32625000 | x_tdata: 00000043 | x_tvalid: 1 | r_addr:   67
Time: 32635000 | x_tdata: 00000043 | x_tvalid: 1 | r_addr:   68
Time: 32635000 | x_tdata: 00000044 | x_tvalid: 1 | r_addr:   68
Time: 32645000 | x_tdata: 00000044 | x_tvalid: 1 | r_addr:   69
Time: 32645000 | x_tdata: 00000045 | x_tvalid: 1 | r_addr:   69
Time: 32655000 | x_tdata: 00000045 | x_tvalid: 1 | r_addr:   70
